name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,industry,companySize,headquarters,founded,specialties,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,phone,error,isClaimable
Swvl,https://media.licdn.com/dms/image/D4D0BAQHY5gFjt0jDWA/company-logo_200_200/0/1665491270375?e=1691625600&v=beta&t=rPWrkJwwFuh5iRLB3eovzkgnIPRglnvGRMADY9NArf4,https://media.licdn.com/dms/image/D4D1BAQEgVk1TotBjww/company-background_10000/0/1666079860284?e=1683871200&v=beta&t=XOXFtE6C_4X-Y0yJkh3fm6CGhxbaGZC90GEpSMdQGPc,"Swvl is a global provider of transformative tech-enabled mass transit solutions that enhance mass transit safety, reliability, and convenience in some of the world’s most challenging and complex emerging markets. Swvl is uniquely positioned to capitalize on the $1tn global mass transit market opportunity with daily commuting, inter-city travel, TaaS, and SaaS transportation solutions. Swvl currently operates in 115 cities in 18 countries across Latin America, Europe, Africa, and Asia. The differentiated proprietary technology stack features dynamic routing of high capacity vehicles allowing unprecedented vehicle utilization and earnings levels for drivers and massively reduced walk to station distances and prices for riders.

With a track record of exponential growth, Swvl achieved annual gross revenue growth of 430% over the past four years. More than 2 million riders to date have booked more than 75 million rides with more than 20 thousand drivers on Swvl’s platform. TaaS offerings have grown gross revenue per client by 4x with > 100% revenue retention over the past two years. Swvl has undergone rapid geographic expansion, including a launch into Europe and Latin America one year ahead of schedule through the recent acquisitions of Shotl and Viapool.

Swvl recently entered into a business combination with Queen’s Gambit Growth Capital. Implied, fully diluted equity value is $1.5bn, including an upsized PIPE of $122.5m, of which $65.5mn has been pre-funded to accelerate the company’s growth plans. Swvl is the first $1bn+ unicorn from the region to list on NASDAQ and the first mass transit solutions company on any exchange. The PIPE was led by strategic and financial investors, including Agility, Luxor Capital, Zain, EBRD, and Chimera.

Founded on strong ESG principles, Swvl advances social and economic equity while reducing more than 15 million person-hours congestion. Since its inception, the platform has prevented more than 250 million pounds of Co2 emissions.",Mobility OS for Smarter Cities,171567,https://www.swvl.com/,https://swvl.com,Dubai,"One Central Dubai - United Arab Emirates, Dubai, AE","Technology, Information and Internet",201-500 employees,,2017,,17895012,17895012,https://www.linkedin.com/sales/company/17895012/,760,Swvl,https://www.linkedin.com/company/17895012/,2023-05-05T05:09:13.374Z,https://www.linkedin.com/company/swvl/,,,
Algoriza,https://media.licdn.com/dms/image/C4E0BAQEOXrUAImfNlw/company-logo_200_200/0/1671126038201?e=1691625600&v=beta&t=TANdmInMrujVh6cu0XjMug1HlamOnZjH5FWcOrNenPI,https://media.licdn.com/dms/image/D4D1BAQEr2WsTSYAVWg/company-background_10000/0/1674860441154?e=1683871200&v=beta&t=UYVzLb1qAqPRts-4zjen4EViBPx---YMobWgZHmTJ_o,"""Algoriza"" Your Partner in Digital Success. Algoriza is a cutting-edge software company that specializes in providing custom software development and offshoring services to businesses of all sizes. Our name, a combination of ""algorithm"" and ""riza,"" which means ""to rise"" in Spanish, represents our commitment to using innovative technologies and techniques to help our clients achieve success and growth. Our team of skilled developers and project managers work closely with clients to understand their unique needs and deliver customized solutions that drive efficiency and increase productivity. Whether you need a SaaS product, a marketplace platform, or any other type of software solution, Algoriza has the expertise and resources to bring your vision to life.",Software House,21973,https://algoriza.com,https://algoriza.com,Sheikh Zayed,"Sheikh Zayed,   EG",IT Services and IT Consulting,51-200 employees,,2018,,67749730,67749730,https://www.linkedin.com/sales/company/67749730/,120,Algoriza,https://www.linkedin.com/company/67749730/,2023-05-05T05:09:41.427Z,https://www.linkedin.com/company/algoriza/,,,
IRAM Jewelry,https://media.licdn.com/dms/image/C510BAQEURbds3zjjkQ/company-logo_200_200/0/1556583163787?e=1691625600&v=beta&t=FW9y0l-SV9DpgnUcffkWN1lMRg9wdx9JUh6gvhG3vok,,"Mission
Our Mission is to deliver value and happiness to our customers with trusted stylish quality products and services that provide the highest standards level of beauty and uniqueness to our customer.

In fulfilling our Mission, we are driven by a continuous process of research and development while delivering World Class customers experience and care.

While focusing on our Customers Satisfaction, we consider our most precious ASSET; our employees, as our Partners in this noble mission. Therefore, we focus on selecting, recruiting, development, and retaining our employees (our Partners)

Last but not least, we commit ourselves to maximize our shareholders'​ value and Net-worth while enhancing the quality of life in the communities where we operate.",Our Mission is to deliver value and happiness to our customers with trusted stylish quality products and service,4103,http://www.iramjewelry.com,iramjewelry.com,,,Retail Luxury Goods and Jewelry,"1,001-5,000 employees",,,"Finest Diamond, Gold, Pearl in many forms (Rings, Bracelets, Necklaces, Earrings, pendants ,Watches)",2460039,2460039,https://www.linkedin.com/sales/company/2460039/,114,IRAM Jewelry,https://www.linkedin.com/company/2460039/,2023-05-05T05:10:06.504Z,https://www.linkedin.com/company/iram-jewelry/,,,
KDE,https://media.licdn.com/dms/image/C4D0BAQFr8Yq0gBYhxA/company-logo_200_200/0/1626462028890?e=1691625600&v=beta&t=sK0u7wViBW6TOrck9aN08NXygWCwL2gLcUiI019tAkM,https://media.licdn.com/dms/image/C4D1BAQGXpdsCZ1twdg/company-background_10000/0/1543318297610?e=1683871200&v=beta&t=WryqKg3dMWVswy_SE5kwJE1poZjjRyr_peUZyEgWa9g,"KDE is an international technology community that creates Free Software for desktop and portable computing. Among KDE's products are a modern desktop system for Linux and UNIX platforms, comprehensive office productivity and groupware suites and hundreds of software titles in many categories including Internet and web applications, multimedia, entertainment, educational, graphics and software development. KDE software is translated into more than 60 languages and is built with ease of use and modern accessibility principles in mind. KDE's full-featured applications run natively on Linux, BSD, Solaris, Windows and macOS.",A worldwide technology community 🌍 Creators of the Plasma desktop & a variety of Free and open source applications,17028,http://www.kde.org,kde.org,World,"International organization, World,  0, DE",Software Development,"501-1,000 employees",,1996,"free software, open source, desktop environment, marketing, and development",29561,29561,https://www.linkedin.com/sales/company/29561/,216,KDE,https://www.linkedin.com/company/29561/,2023-05-05T05:10:30.390Z,https://www.linkedin.com/company/kde/,,,
Acute Business,https://media.licdn.com/dms/image/C4D0BAQF4Hp2CTED9Fg/company-logo_200_200/0/1639849381586?e=1691625600&v=beta&t=HeQr4LZgNMxrJcD5zRd5nrrcggW3RhT3WnPyi3KTvmA,https://media.licdn.com/dms/image/C561BAQFmcUVLG_sDdA/company-background_10000/0/1644082445733?e=1683871200&v=beta&t=ipbdDQ2TIKRPSYLusVboMpwIp83GEkd7nxlGPhmlLzA,"Acute Business is the first of a new generation consultation, business process and information technology outsourcing company.  Our ultimate goal is to help your business increase its operational effectiveness, decrease costs and expenditure and increase opportunities. Subsequently, guide your business towards generating more revenues and profits. We have been in the industry since 2006 and have worked with many reputed organizations, assisting them to build their brand and business.",Custom IT Solutions Delivered Fresh To You!,736,http://www.acutebusiness.com,acutebusiness.com,Maadi,"G/4 El Laselky Division, New Maadi, Maadi, Maadi, Cairo 112111, EG",Information Services,11-50 employees,"Maadi, Cairo",2006,"IT Outsourcing, Business Process Outsourcing, Sales Outsourcing, and Consultancy",3307834,3307834,https://www.linkedin.com/sales/company/3307834/,11,Acute Business,https://www.linkedin.com/company/3307834/,2023-05-05T05:10:57.622Z,https://www.linkedin.com/company/acute-business-solutions/,,,
,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/949170/,2023-05-05T05:11:25.353Z,,,Unavailable company,
ECG Management Consultants,https://media.licdn.com/dms/image/C560BAQHzp9uPLYeDFQ/company-logo_200_200/0/1672678305462?e=1691625600&v=beta&t=ZXbeWBTECDSxEmc2dJFHZwg-zUWtxvtz7kTpSEEeIlM,https://media.licdn.com/dms/image/D561BAQFhHWUklTRVoA/company-background_10000/0/1672778448885?e=1683871200&v=beta&t=wg9T_0s09JAARiwgd6JGe_tay2nUesMaAGz18WrHw1I,"We’re a consulting firm that works exclusively in healthcare. Since 1973, we’ve been a trusted adviser for health systems, academic medical centers, children’s hospitals, and more. Our firm is filled with smart people who are driven to find new ways to improve patient care. Not only do we solve problems and offer creative solutions, we’re empowered to make a difference. We come together to change lives – and that’s what fuels our passion to lead healthcare forward. 

MISSION 
We provide highly specialized management consulting services to healthcare clients and maintain a pattern of steady growth and profitability by developing staff with a strong commitment to high quality, client service, ethical standards, and professionalism. 

VISION 
When it comes to our future, we know exactly where we’re going. That’s why we keep reaching further and performing higher with one goal in mind: To transform healthcare. 

DID YOU KNOW? 
-Nearly 90% of our engagements are from existing and former clients and their referrals – a testament to the quality of our work.

-We’re proud to be named the #1 provider of value-based care consulting services among US healthcare management consulting firms in the 2021 Best in KLAS: Software and Services report.

-Our offices are strategically located in healthcare hubs across the nation: Atlanta, Boston, Chicago, Dallas, Minneapolis, San Diego, Seattle, St. Louis, and Washington, D.C.

WHAT IT MEANS TO BE PART OF ECG 
If you’re passionate about healthcare, intellectually curious, and up for any challenge, you’re in the right spot. Here’s what you can expect from our overall employee experience: 

Coworker Quality: Team up with people you can trust
Own Your Path: Constantly take on new challenges
Earn Your Success: Get rewarded for delivering results
Impact: Do meaningful work that improves lives",A Siemens Healthineers Company,21742,http://www.ecgmc.com,ecgmc.com,San Diego,"11512 El Camino Real, San Diego, 92130-2087, US",Business Consulting and Services,201-500 employees,"San Diego, CA",1973,"Healthcare Management Consulting, Healthcare Strategy, Healthcare Information Technology, Hospital/Physician Relations, and Academic Medical Center Serivces",20666,20666,https://www.linkedin.com/sales/company/20666/,484,ECG Management Consultants,https://www.linkedin.com/company/20666/,2023-05-05T05:11:51.152Z,https://www.linkedin.com/company/ecg-management-consultants/,,,
Orange Egypt,https://media.licdn.com/dms/image/C560BAQFvkFAZkfQhOQ/company-logo_200_200/0/1575458560685?e=1691625600&v=beta&t=xfUgvZtKTw_PLIheF8j1U_WJ9RRTzC4fjzYrmm8iUIM,https://media.licdn.com/dms/image/D4D1BAQFrfOPgp_tOGQ/company-background_10000/0/1681897050373?e=1683871200&v=beta&t=eUz90O2q0hBKktO3szUbSOHUGFYZy3wl-qbnrnhAEQU,"Orange is one of the world’s leading telecommunications operators with sales of 42.5 billion euros in 2021 and 140,000 employees worldwide at 31 December 2021, including 78,000 employees in France. 

The Group has a total customer base of 271 million customers worldwide at 31 December 2021, including 224 million mobile customers and 23 million fixed broadband customers. The Group is present in 26 countries. 

Orange is also a leading provider of global IT and telecommunication services to multinational companies under the brand Orange Business Services.

Orange Egypt is Gender Equality European & International Standard (GEEIS) certified which reflects our dedication (or commitment) to extremely high ethical, social, and environmental standards, as well as the fact that we provide a working atmosphere that is diverse and welcoming to all of our employees.",Brings you closer to what matters,403343,https://orange.jobs/jobs/v3/search?GROUP=EOEGY,https://orange.jobs/jobs/v3/search?GROUP=EOEGY,Giza,"Smart Village, Giza, Giza 12577, EG",Telecommunications,"5,001-10,000 employees","Giza, Giza",1998,"Telecom, Telecommunications, Egypt, Mobile Operators, CRM, 4G, 3G, GSM, EDGE, and GPRS",8331,8331,https://www.linkedin.com/sales/company/8331/,4773,Orange Egypt,https://www.linkedin.com/company/8331/,2023-05-05T05:12:15.771Z,https://www.linkedin.com/company/orange-egypt/,,,
Digitec Xerox,https://media.licdn.com/dms/image/C560BAQE0843Q7dS7aw/company-logo_200_200/0/1519876997531?e=1691625600&v=beta&t=qGj1sBBV9vNHyOqUCxvuhl-i3zUkM3FOZFZWTrRgVtU,,,,74,,,,,,,,,,18093042,18093042,https://www.linkedin.com/sales/company/18093042/,15,Digitec Xerox,https://www.linkedin.com/company/18093042/,2023-05-05T05:12:39.255Z,https://www.linkedin.com/company/digitecxerox/,,,
Cegedim,https://media.licdn.com/dms/image/C4E0BAQH54jJLeXDzjA/company-logo_200_200/0/1669801704585?e=1691625600&v=beta&t=Sa5xWbOZDgGNpBQ9qKJJLwqtlVx-mooqhm7fX3kW8xg,https://media.licdn.com/dms/image/D4E1BAQEaMcLxy94XKA/company-background_10000/0/1666357446745?e=1683871200&v=beta&t=JULJIQUz9jRQtSnjr7NiRd-bF6I1hqXzFtz0asqQijg,"Founded in 1969, Cegedim is an innovative technology and services company in the field of digital data flow management for healthcare ecosystems and B2B, and a business software publisher for healthcare and insurance professionals. Cegedim employs more than 5,600 people in more than 10 countries and generated revenue of €525 million in 2021. Cegedim SA is listed in Paris (EURONEXT: CGM).

To learn more, please visit: www.cegedim.com
And follow Cegedim on Twitter: @CegedimGroup 
& Facebook  http://bit.ly/2sI2OEa",,64735,http://www.cegedim.com,cegedim.com,Boulogne-Billancourt,"137, Rue d'aguesseau, Boulogne-Billancourt, Île-de-France 92100, FR",IT Services and IT Consulting,"5,001-10,000 employees","Boulogne-Billancourt, Île-de-France",,"Solutions and Services for Healthcare Companies, Solutions and Services for Healthcare Professionals, and Solutions and Services for Corporate Businesses",2367857,"2367857,737629,3562608,3563980,10441770,64262849,315464,377842,584051,72095046,10502774,315680,11299971,91306",https://www.linkedin.com/sales/company/2367857/,3750,Cegedim,https://www.linkedin.com/company/2367857/,2023-05-05T05:13:09.707Z,https://www.linkedin.com/company/cegedim/,,,
IT Solution,https://media.licdn.com/dms/image/C560BAQFo6zTZ5E0mGw/company-logo_200_200/0/1552046954498?e=1691625600&v=beta&t=kgxFG7HmJ_G_BYvYhojy9l0zuThSvqfPFksh0dNQK-I,https://media.licdn.com/dms/image/C4D1BAQESyamymXmF_Q/company-background_10000/0/1541002462506?e=1683871200&v=beta&t=URMTMJa3APNrKBdMFlBsNohsMq5YrIft67PHatELtd8,"IT Solution is an Egyptian Company, Founded in 2010. 
IT Solution is specialized in providing innovative: 
Software,Web and Mobile App Development, 
Networking Solutions, 
Design & Advertising, 
E-Marketing, Hardware 
Training Courses",,98,http://www.itsolution.solutions,itsolution.solutions,Cairo,"3B El Mohandsen Towers – Cornish El-Nile - Maadi, Cairo,   EG",IT Services and IT Consulting,11-50 employees,,2010,,10348409,10348409,https://www.linkedin.com/sales/company/10348409/,8,IT Solution,https://www.linkedin.com/company/10348409/,2023-05-05T05:13:51.518Z,https://www.linkedin.com/company/itsolution-eg/,+201001201007,,
Expandium (a VIAVI Solutions company),https://media.licdn.com/dms/image/C560BAQEyWIu3vORH0Q/company-logo_200_200/0/1538665238745?e=1691625600&v=beta&t=44dG239nU5ZuItauz-9Na25MFmTFpjXNkY-QJUfw3k0,https://media.licdn.com/dms/image/C4E1BAQFziGjog_TZMw/company-background_10000/0/1593091135957?e=1683871200&v=beta&t=-ymztWmlqVqCvfJZ_YY3Y63VBx_d81KUHFQdqZv4Op8,"Expandium, a VIAVI Solutions company, is an innovative and leading provider of critical network monitoring solutions that uses the latest big data technologies, enhanced with machine learning and AI. 

Since its establishment in 2005, our company has provided public and railway operators with the latest generation of tools to build network intelligence, ranging from troubleshooting to optimization through Customer Experience Management (CEM) and Service Quality Management (SQM). 

Our solutions monitor all railway standards: GSM-R, ETCS and the upcoming FRMCS.

We are the leading providers of railway telecommunication and signalling monitoring solutions. Close to 90% of European railway operators are using Expandium products. Our expertise also extends to other mission critical operators planning or currently moving to 5G. 

Expandium is part of VIAVI Solutions since June 2020, and continues to be based in Saint-Herblain - France. For any inquiries, please contact us at expandium.sales[@]viavisolutions.com
",#ServiceQuality #CustomerExperience and #BusinessIntelligence solutions for #MissionCritical Operators such as #Railway,1814,https://www.expandium.com,https://expandium.com,Saint-Herblain,"15, Boulevard Marcel Paul, Saint-Herblain, 44800, FR",Telecommunications,51-200 employees,"Saint-Herblain, Pays de la Loire",2005,"ERTMS, Big Data, FRMCS, GSM-R, ETCS, Railway Cybersecurity, MCx, MCS, Mission Critical, Interlocking, Railway Telecommunication, Railway Signalling, and Drive Test",100688,100688,https://www.linkedin.com/sales/company/100688/,47,Expandium (a VIAVI Solutions company),https://www.linkedin.com/company/100688/,2023-05-05T05:14:45.989Z,https://www.linkedin.com/company/expandium/,,,
CoatConnect,https://media.licdn.com/dms/image/C4D0BAQEtvCa-7bHgYA/company-logo_200_200/0/1572454289946?e=1691625600&v=beta&t=-yxJAC4peSuK5F0XfQEa_f7P57cfXALfj4k0AOllJtU,https://media.licdn.com/dms/image/D4D1BAQETkeaU8VTYVA/company-background_10000/0/1683219139004?e=1683871200&v=beta&t=OBwhELB7RG7-MqvUVLd3J10zWK5qwUGoBCUZVHWi3ZQ,"CoatConnect is the 1st online hub for healthcare professional, educational & business opportunities. A Multi-sided marketplace connecting healthcare professionals to opportunities from verified accredited healthcare institutions by profession, specialty & location.

Our technology helps healthcare institutions showcase their events (i.e. Courses, Conferences, Hands-On training, etc.) to an ever growing network of healthcare professionals & let them easily find, book & pay for the opportunity anytime, any where.


CoatConnect is changing how healthcare professionals find, book and pay for specialized medical events, how they search and apply for jobs, internships, trainings, scholarships, or any other opportunity from all over the world by digitizing the whole process of event booking and job finding.

Being Healthcare professionals ourselves, we have always been familiar with how hard it is to find or offer an educational, business or professional opportunity. 
No solution has ever been capable to digitize healthcare professional experiences conveniently as the opportunities are as specialized & fragmented as the industry itself. We have been on both sides of the fence, that’s why CoatConnect came up.

Mission:
Connecting healthcare professionals to educational, professional and business opportunities around the globe through accessible, convenient and cost-effective technology-based solutions to contribute to the knowledge and professional growth of the health workforce.

Vision:
Taking the whole healthcare professional experience online.","Online Hub for Booking Specialized Medical Courses, Conferences, Trainings and Other Healthcare Professional Events.",8323,https://www.coatconnect.com,https://coatconnect.com,NYC,"NYC, NYC 11103, US",Hospitals and Health Care,11-50 employees,"NYC, NYC",2020,"Healthcare, Medicine, Dentistry, Paramedicine, Biotechnology, Healthcare IT, Medical Knowledge, Physician Practice, Healthcare Professionals, Healthcare Adminstration Support, Medical Apps, Healthcare Entrepreneurship, medical entrepreneur, pharmacy, CME, CE, and Continuous Medical Education",29117448,29117448,https://www.linkedin.com/sales/company/29117448/,16,CoatConnect,https://www.linkedin.com/company/29117448/,2023-05-05T05:14:59.958Z,https://www.linkedin.com/company/coatconnect/,+201001235523,,
Restart Technology,https://media.licdn.com/dms/image/C4D0BAQGAvwYSCbx9fg/company-logo_200_200/0/1661072978721?e=1691625600&v=beta&t=pXOkL0Eow7dnS0ttaQHT9AmleBEZxFXay1gZ8oeRBgQ,https://media.licdn.com/dms/image/D4D1BAQEPEyA7Kf97Pw/company-background_10000/0/1661158803484?e=1683871200&v=beta&t=PbZUDuYVwcd4XkwXJmREFlJ96XhCEafooKCjNvJcw5E,"Restart is a software development firm specializing in Web, Android, and iOS app development. Founded in 2014 by a group of passionate people wanting to be a significant influence in the virtual world. We develop and design highly selling websites, apps, and software systems. We bring you flexible customized solutions that suit all your business needs.",Where innovation meets excellence.,1818,http://Restart-Technology.com,Restart-Technology.com,cairo,"25B Obour Towers , Salah Salem, cairo, 11311, EG",IT Services and IT Consulting,11-50 employees,"cairo, cairo",2014,"Android Development, Web Development, Graphic Design, IOS Development, Branding, and Ui/Ux",5206321,5206321,https://www.linkedin.com/sales/company/5206321/,28,Restart Technology,https://www.linkedin.com/company/5206321/,2023-05-05T05:15:12.984Z,https://www.linkedin.com/company/restart-technology/,+201226387918,,
Bartizan Lead Retrieval,https://media.licdn.com/dms/image/C4E0BAQHjZxgh3hFrfg/company-logo_200_200/0/1548789770119?e=1691625600&v=beta&t=oeIi-6IqSgb4OUBfFCUt1EIY8nVh-aQkiOFgfXVC62w,https://media.licdn.com/dms/image/C4E1BAQEpemRxey86Kw/company-background_10000/0/1548804035116?e=1683871200&v=beta&t=Ehcr9SNGgJU51zFKXBfQpWJfiUuOuLrnFF6as168-hE,"Bartizan Connects offers lead retrieval  and session tracking apps for all events, including trade shows, conferences, conventions and expos. We've helped millions of exhibitors form relationships and exchange information. We have also helped thousands of show organizers increase exhibitor attendance and participation at their events.

Our lead retrieval is just the starting point for a powerful, integrated lead generation and follow-up system.  Our systems link exhibitors to secure web-based show reporting software to identify the best leads in minutes. 

",Originated the first lead retrieval mobile app.,248,http://www.bartizan.com/,bartizan.com,Woodmere,"145 Harold Rd, Woodmere, New York 11598, US",Information Technology & Services,11-50 employees,"Woodmere, New York",,"iLeads Mobile App, Smartphone Lead Retrieval, lead capture, lead capture system, barcode terminal, Tradeshow Registration, badge scanner, Conference Session Tracking, Session Tracking, Badge Printing, Lead Retrieval Mobile App, and Event Registraton",309988,309988,https://www.linkedin.com/sales/company/309988/,13,Bartizan Lead Retrieval,https://www.linkedin.com/company/309988/,2023-05-05T05:15:25.636Z,https://www.linkedin.com/company/bartizan-lead-retrieval/,,,
Zad,https://media.licdn.com/dms/image/C4D0BAQHvUXqOzqJQuQ/company-logo_200_200/0/1552580816219?e=1691625600&v=beta&t=JRsm2djFnfDGcm_MChF-d5UImo5MeVseA9OOgCzKJrs,https://media.licdn.com/dms/image/C561BAQGq8paS3R3txw/company-background_10000/0/1554041949518?e=1683871200&v=beta&t=myjW7Uow_0sR-m9a-5jfonGSSkPo-pIsZIfpeyxxhqQ,"ZadFresh is an online delivery platform for grocery products. We offer Standard Grocery Store items delivered right to your doorstep within minutes. We also offer Hypermarket products containing more than 14,000 items with delivery time starting from the same day.

ZadFresh is an organization with sincere and straightforward vision and a mission to make your life easy & comfortable. The team at ZadFresh contains highly experienced and motivated professionals who are well equipped with all necessary skills like Customer Services, Customer Management, Business Development and implementation of honesty and integrity at the highest possible level. We are highly passionate about using the technology for better living and achieving more and happier customers with every passing day.


We at ZadFresh have everything that a Saudi Family would need.

Most importantly in the space of just a “CLICK”",تحتاجه .. تطلبه .. تلاقيه,5051,https://www.zadfresh.com,https://zadfresh.com,Riyadh,"At Takhassusi St, Business Center Building, Riyadh,   SA",Food & Beverages,51-200 employees,,2016,"Online, Food, Online Grocery Delivery, and Application",13242076,13242076,https://www.linkedin.com/sales/company/13242076/,164,Zad,https://www.linkedin.com/company/13242076/,2023-05-05T05:15:39.768Z,https://www.linkedin.com/company/zadfresh/,,,
Testing Geeks,https://media.licdn.com/dms/image/C560BAQFrbejZVdHpdg/company-logo_200_200/0/1625586677799?e=1691625600&v=beta&t=lamohTrtW4WaZfbH22TnNVxC2Bu3Zf5DaB4sNmPYi4s,https://media.licdn.com/dms/image/C561BAQGq6cbgjRDuTw/company-background_10000/0/1641990112937?e=1683871200&v=beta&t=HGahkLkGC6fraYZz8puMontOm1mO_PHyjotIzXirttE,"Testing Geeks, A leading QA Company provides a variety of Software Testing
services, from Consultation, Training, Outsourcing to having a Dedicated Team
for your business.",Quality Assuring Your Growth Journey,4257,http://www.testinggeeks.net,testinggeeks.net,Dokki,"1C Hussien Wassef Street, 8, Dokki,   EG",Software Development,11-50 employees,,2016,"QA, QA Consultant, and Software Testing",19022813,19022813,https://www.linkedin.com/sales/company/19022813/,23,Testing Geeks,https://www.linkedin.com/company/19022813/,2023-05-05T05:15:53.151Z,https://www.linkedin.com/company/testinggeeks/,+20 1019876662,,
NowPay,https://media.licdn.com/dms/image/C4E0BAQFvoOdRkeUngA/company-logo_200_200/0/1557397058832?e=1691625600&v=beta&t=PH-8bIbfTCCEZsfT7QQbeU-NjcFRpte9K5e3yO7g9SA,https://media.licdn.com/dms/image/C561BAQGhBWuv6VGJwg/company-background_10000/0/1547833387856?e=1683871200&v=beta&t=ChRJos1DqfjtwoCAXDUKeLnvmI5e1nVCsSEuCYYLgcM,NowPay is a FinTech company that focuses on improving the financial-wellness of corporate employees. We enable employees to get paid at any point in time during the month.,Improving the financial-wellness of corporate employees,14987,https://nowpay.cash,https://nowpay.cash,Cairo,"Cairo, 11211, EG",Financial Services,11-50 employees,"Cairo, Cairo",,,18987066,18987066,https://www.linkedin.com/sales/company/18987066/,75,NowPay,https://www.linkedin.com/company/18987066/,2023-05-05T05:16:06.732Z,https://www.linkedin.com/company/nowpay/,,,
,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/13224813/,2023-05-05T05:16:28.812Z,,,Unavailable company,
PepsiCo,https://media.licdn.com/dms/image/C4E0BAQES6SfNFl84wA/company-logo_200_200/0/1679328335676?e=1691625600&v=beta&t=bpe69KfOl2RO_gnjE7-gxLsPRWPWOuh7J5xm2aItCEw,https://media.licdn.com/dms/image/D4E1BAQGNK0ejOnK3CA/company-background_10000/0/1679328367037?e=1683871200&v=beta&t=5j0A2kBvozq18QekExLvPweXyfZavrmkeR8ndwtHGvM,"PepsiCo products are enjoyed by consumers more than one billion times a day in more than 200 countries and territories around the world. PepsiCo's product portfolio includes a wide range of enjoyable foods and beverages, including many iconic brands – such as Lay’s, Doritos, Cheetos, Gatorade, Pepsi-Cola, Mountain Dew, Quaker and SodaStream –  that generate more than $1 billion each in estimated annual retail sales.

At PepsiCo, you get the best of both worlds: an entrepreneur’s mindset plus reach and resources. Our collaborative culture and worldwide presence generate a stream of new opportunities to define the future and propel your life’s work. Bring your unique perspective. Bring curiosity. Bring ingenuity, and drive. We’ll give you a platform to be daring on a global scale.",,7252310,http://www.pepsico.com,pepsico.com,Purchase,"700 Anderson Hill Road, Purchase, 10577, US",Food and Beverage Services,"10,001+ employees","Purchase, New York",,"manufacturing, sales, marketing, brand management, gatorade, tropicana, quaker oats, frito-lay, pepsi, mtn dew, doritos, mirinda, pepsi max, tostitos, aquafina, sierra mist, fritos, lipton, cheetos, and 7up",1431,"1431,9537770",https://www.linkedin.com/sales/company/1431/,104356,PepsiCo,https://www.linkedin.com/company/1431/,2023-05-05T05:16:42.618Z,https://www.linkedin.com/company/pepsico/,,,
opinov8,https://media.licdn.com/dms/image/C560BAQGkoXZj-ygpNA/company-logo_200_200/0/1645704711488?e=1691625600&v=beta&t=vN-z2ZHZyzn9Umy3mOJNEzjLWsEfnQNwRZoG_bNQaXU,https://media.licdn.com/dms/image/C561BAQEI4KZ8msHrnA/company-background_10000/0/1646759768446?e=1683871200&v=beta&t=ma4pun0iYfJ9D-ODWt9BAjIdx6AtVhsj_aMjzFDnuy0,"Opinov8 is a trusted provider of custom software development and cloud and data services. Their team of experts has helped businesses across a range of industries to achieve their digital goals and stay ahead of the curve. They specialize in developing software solutions tailored to the unique needs of each client, whether it's a web or mobile application or an enterprise-level software system.

What sets Opinov8 apart is their commitment to innovation and reliability. They use the latest technologies and development methodologies to ensure their solutions are of the highest quality and delivered in a timely manner. But what really sets them apart is their focus on building long-term partnerships with their clients. They understand that every business is different and their needs can change over time. That's why they make sure their solutions are scalable and flexible enough to adapt to evolving business requirements.

In addition to custom software development, Opinov8 also offers a range of cloud and data services to help businesses leverage the power of the cloud and gain valuable insights from their data. Their cloud strategy and migration services can help businesses move their operations to the cloud with ease, while their data architecture and engineering services ensure that data is managed efficiently and effectively. And with their big data analytics services, businesses can gain valuable insights into their operations and make data-driven decisions that drive growth and success.

At Opinov8, they believe that every business has a story to tell. That's why they work closely with their clients to understand their unique needs, goals, and challenges. By combining their technical expertise with a human-centered approach, they deliver solutions that not only meet business requirements but also improve the lives of the people using them.",Globally recognized technology innovation partner. Dedicated to business-driven product and custom engineering solutions,11262,http://opinov8.com,opinov8.com,London,"130 Old Street, London, EC1V 9, GB",Software Development,201-500 employees,"London, England",2017,,11191440,11191440,https://www.linkedin.com/sales/company/11191440/,210,opinov8,https://www.linkedin.com/company/11191440/,2023-05-05T05:16:55.921Z,https://www.linkedin.com/company/opinov8/,,,
